Unnamed: 0,Overall Rankings,Player name,"School - State, City",position,Height/weight,score,National rank,Star Rating,Position ranking,Committed School,High School Stats,University,Estimated NIL Budget
75,76,Dealyn Evans,"Pine Tree (Longview, TX)",DL,6-4.5 / 260,96,76,4,15,TAMU,"58 tackles, 8 TFLs, 4 sacks",,
76,77,William Echoles,"Houston (Houston, MS)",DL,6-2 / 312,96,77,4,16,Ole Miss,"73 tackles, 15 sacks, 3 FR",,
77,78,Braylon Staley,"Strom Thurmond (Johnston, SC)",WR,6-0 / 180,96,78,4,15,Tennessee,"69 rec, 1116 yards, 14 TDs",University of Tennessee,7000000.0
78,79,Jerrick Gibson,"IMG Academy (Bradenton, FL)",RB,5-10 / 200,96,79,4,3,Texas,"740 rush yards, 8 rush TDs, 9 total TDs",University of Texas,9500000.0
79,80,Bennett Warren,"Fort Bend Christian Academy (Sugar Land, TX)",OT,6-7.5 / 324,96,80,4,7,Tennessee,"31 pancake blocks, 5 pressures allowed, 2 sacks allowed",University of Tennessee,7000000.0
80,81,Cam Williams,"Glenbard South (Glen Ellyn, IL)",WR,6-2 / 188,96,81,4,16,Notre Dame,"78 rec, 1630 yards, 24 TDs",University of Notre Dame,6000000.0
81,82,Noah Carter,"Centennial (Peoria, AZ)",Edge,6-3.5 / 218,96,82,4,8,Alabama,"55 tackles, 11 sacks, 10 total TDs",University of Alabama,12000000.0
82,83,Aaron Chiles,"Our Lady Good Counsel HS (Olney, MD)",LB,6-3 / 220,96,83,4,6,Florida,"93 tackles, 8 sacks, 1 FR",University of Florida,8500000.0
83,84,Charles Lester III,"Venice (Venice, FL)",CB,6-1 / 171,96,84,5,8,Florida State,"108 tackles, 7 INTs, 7 PBUs, 34 rec, 354 yards, 4 TDs",Florida State University,7000000.0
84,85,Drelon Miller,"Silsbee (Silsbee, TX)",WR,5-11 / 205,95,85,4,17,Colorado,"155 receptions, 3,571 receiving yards, 43 receiving TDs; 94 rushes, 778 rushing yards, 5 rushing TDs; 4,772 total yards, 51 total TDs",University of Colorado,5500000.0
85,86,Jeremiah McClellan,"Christian Brothers College (St. Louis, MO)",WR,6-0 / 190,95,86,4,18,Oregon,"41 rec, 989 yards, 9 TDs",,
86,87,Kam Mikell,"Statesboro (Statesboro, GA)",ATH,6-1 / 181,95,87,4,2,Colorado,"83 car, 478 rushing yards, 5 TDs, 31 passes, 465 yards, 7 TDs",University of Colorado,5500000.0
87,88,Guerby Lambert,"Catholic Memorial (West Roxbury, MA)",OT,6-6 / 280,95,88,3,8,Notre Dame,"24 pancake blocks, 7 pressures allowed, 0 sacks allowed",University of Notre Dame,6000000.0
88,89,Jerod Smith II,"Corbin (Corbin, KY)",Edge,6-3.5 / 245,95,89,4,9,Kentucky,"21 tackles, 8 sacks, 3 FF, 2 FR",University of Kentucky,4000000.0
89,90,Christian Bentancur,"Marian Central Catholic (Woodstock, IL)",TE,6-3.5 / 236,95,90,4,4,Clemson,"12 rec, 107 yards, 2 TDs",Clemson University,7500000.0
90,91,Jordan Shipp,"Providence Day School (Charlotte, NC)",WR,6-0.5 / 190,95,91,4,19,North Carolina,"66 rec, 1195 yards, 15 TDs",North Carolina,5000000.0
91,92,Terrell Anderson,"Grimsley (Greensboro, NC)",WR,6-3 / 188,95,92,4,20,NC State,"64 rec 1114 yards, 14 TDs",,
92,93,Elijah Groves,"East Robertson (Cross Plains, TN)",LB,6-4 / 206,95,93,3,7,NC State,"116 passing yards, 3/6 completions, 1 INT, 50% completion rate, 3.7 Y/G",,
93,94,Jericho Johnson,"Armijo (Fairfield, CA)",DL,6-2.5 / 366,95,94,5,17,Oregon,"88 tackles, 24 TFLs, 18 sacks",,
94,95,Shaq McRoy,"Clay-Chalkville (Pinson, AL)",OT,6-8 / 365,95,95,3,9,Oregon,"306.7 YPG, 1,667 rush yards, 1,400 pass yards",,
95,96,Brian Robinson,"Westerville North (Westerville, OH)",DL,6-5 / 255,95,96,3,18,Kentucky,"97 total tackles (66 solo), 2 sacks, 4.2 Tck/G, 0.1 Sck/G",University of Kentucky,4000000.0
96,97,Michael Smith,"Calvary Day School (Savannah, GA)",TE,6-4 / 235,95,97,3,5,South Carolina,"43 receiving yards on 8 catches, 5.4 avg, 8.6 Y/G, 1 TD",University of South Carolina,6500000.0
97,98,Ny Carr,"Colquitt County (Moultrie, GA)",WR,5-11 / 169,95,98,4,21,Miami,"3,195 receiving yards on 169 catches, 18.9 avg, 81.9 Y/G, 44 rec TDs, 45 total TDs",University of Miami,8500000.0
98,99,Caleb Odom,"Carrollton (Carrollton, GA)",TE,6-5 / 215,95,99,4,6,Alabama,"1,925 receiving yards on 113 catches, 17.0 avg, 60.2 Y/G, 26 TDs, 26 total TDs",University of Alabama,12000000.0
99,100,Jaden Reddell,"Raymore-Peculiar (Peculiar, MO)",TE,6-4 / 233,95,100,4,7,Georgia,"1,551 receiving yards on 70 catches, 22.2 avg, 77.6 Y/G, 19 TDs, 19 total TDs",University of Georgia,11000000.0
200,900,Test Player A-0,"Example HS (Anywhere, USA)",S,6-0 / 180,82,800,4,114,Synthetic University,Stats not available,Synthetic University,10254765.0
201,901,Test Player A-1,"Example HS (Anywhere, USA)",QB,6-0 / 180,85,801,2,84,Synthetic University,Stats not available,Synthetic University,11575581.0
202,902,Test Player A-2,"Example HS (Anywhere, USA)",QB,6-0 / 180,76,802,1,73,Synthetic University,Stats not available,Synthetic University,10265603.0
203,903,Test Player A-3,"Example HS (Anywhere, USA)",QB,6-0 / 180,77,803,3,73,Synthetic University,Stats not available,Synthetic University,11118997.0
204,904,Test Player A-4,"Example HS (Anywhere, USA)",S,6-0 / 180,79,804,3,68,Synthetic University,Stats not available,Synthetic University,10442151.0
205,905,Test Player A-5,"Example HS (Anywhere, USA)",QB,6-0 / 180,89,805,4,132,Synthetic University,Stats not available,Synthetic University,11625179.0
206,906,Test Player A-6,"Example HS (Anywhere, USA)",WR,6-0 / 180,86,806,1,147,Synthetic University,Stats not available,Synthetic University,11480931.0
207,907,Test Player A-7,"Example HS (Anywhere, USA)",S,6-0 / 180,78,807,1,70,Synthetic University,Stats not available,Synthetic University,10039838.0
208,908,Test Player A-8,"Example HS (Anywhere, USA)",DL,6-0 / 180,75,808,5,86,Synthetic University,Stats not available,Synthetic University,10901941.0
209,909,Test Player A-9,"Example HS (Anywhere, USA)",S,6-0 / 180,76,809,3,64,Synthetic University,Stats not available,Synthetic University,11503567.0
210,910,Test Player A-10,"Example HS (Anywhere, USA)",OL,6-0 / 180,89,810,1,74,Synthetic University,Stats not available,Synthetic University,10106892.0
211,911,Test Player A-11,"Example HS (Anywhere, USA)",RB,6-0 / 180,80,811,1,133,Synthetic University,Stats not available,Synthetic University,11829163.0
212,912,Test Player A-12,"Example HS (Anywhere, USA)",S,6-0 / 180,75,812,2,132,Synthetic University,Stats not available,Synthetic University,11234851.0
213,913,Test Player A-13,"Example HS (Anywhere, USA)",WR,6-0 / 180,81,813,3,64,Synthetic University,Stats not available,Synthetic University,10678425.0
214,914,Test Player A-14,"Example HS (Anywhere, USA)",S,6-0 / 180,88,814,3,106,Synthetic University,Stats not available,Synthetic University,11166872.0
215,915,Test Player A-15,"Example HS (Anywhere, USA)",DL,6-0 / 180,85,815,3,61,Synthetic University,Stats not available,Synthetic University,11066795.0
216,916,Test Player A-16,"Example HS (Anywhere, USA)",OL,6-0 / 180,82,816,5,85,Synthetic University,Stats not available,Synthetic University,11389221.0
217,917,Test Player A-17,"Example HS (Anywhere, USA)",DL,6-0 / 180,76,817,2,132,Synthetic University,Stats not available,Synthetic University,11999919.0
218,918,Test Player A-18,"Example HS (Anywhere, USA)",QB,6-0 / 180,85,818,3,71,Synthetic University,Stats not available,Synthetic University,11157441.0
219,919,Test Player A-19,"Example HS (Anywhere, USA)",WR,6-0 / 180,88,819,5,119,Synthetic University,Stats not available,Synthetic University,10469698.0
220,920,Test Player A-20,"Example HS (Anywhere, USA)",OL,6-0 / 180,76,820,5,88,Synthetic University,Stats not available,Synthetic University,10477584.0
221,921,Test Player A-21,"Example HS (Anywhere, USA)",RB,6-0 / 180,89,821,3,66,Synthetic University,Stats not available,Synthetic University,11214139.0
222,922,Test Player A-22,"Example HS (Anywhere, USA)",OL,6-0 / 180,79,822,2,79,Synthetic University,Stats not available,Synthetic University,10753245.0
223,923,Test Player A-23,"Example HS (Anywhere, USA)",WR,6-0 / 180,87,823,2,132,Synthetic University,Stats not available,Synthetic University,11621930.0
224,924,Test Player A-24,"Example HS (Anywhere, USA)",DL,6-0 / 180,76,824,1,109,Synthetic University,Stats not available,Synthetic University,11984583.0
225,925,Test Player A-25,"Example HS (Anywhere, USA)",DL,6-0 / 180,78,825,5,57,Synthetic University,Stats not available,Synthetic University,11211653.0
226,926,Test Player A-26,"Example HS (Anywhere, USA)",RB,6-0 / 180,79,826,1,82,Synthetic University,Stats not available,Synthetic University,10137789.0
227,927,Test Player A-27,"Example HS (Anywhere, USA)",QB,6-0 / 180,88,827,4,102,Synthetic University,Stats not available,Synthetic University,10438307.0
228,928,Test Player A-28,"Example HS (Anywhere, USA)",QB,6-0 / 180,87,828,4,61,Synthetic University,Stats not available,Synthetic University,11413554.0
229,929,Test Player A-29,"Example HS (Anywhere, USA)",QB,6-0 / 180,76,829,4,96,Synthetic University,Stats not available,Synthetic University,10220492.0
230,930,Test Player A-30,"Example HS (Anywhere, USA)",WR,6-0 / 180,82,830,1,117,Synthetic University,Stats not available,Synthetic University,10715415.0
231,931,Test Player A-31,"Example HS (Anywhere, USA)",RB,6-0 / 180,77,831,2,127,Synthetic University,Stats not available,Synthetic University,10752314.0
232,932,Test Player A-32,"Example HS (Anywhere, USA)",DL,6-0 / 180,76,832,1,135,Synthetic University,Stats not available,Synthetic University,11440793.0
233,933,Test Player A-33,"Example HS (Anywhere, USA)",QB,6-0 / 180,78,833,2,110,Synthetic University,Stats not available,Synthetic University,10065253.0
234,934,Test Player A-34,"Example HS (Anywhere, USA)",QB,6-0 / 180,80,834,3,89,Synthetic University,Stats not available,Synthetic University,10590940.0
235,935,Test Player A-35,"Example HS (Anywhere, USA)",WR,6-0 / 180,86,835,5,58,Synthetic University,Stats not available,Synthetic University,11183852.0
200,900,Test Player C-0,"Example HS (Anywhere, USA)",OL,6-0 / 180,83,800,2,148,Synthetic University,Stats not available,Synthetic University,1478951.0
201,901,Test Player C-1,"Example HS (Anywhere, USA)",QB,6-0 / 180,87,801,1,65,Synthetic University,Stats not available,Synthetic University,2859203.0
202,902,Test Player C-2,"Example HS (Anywhere, USA)",S,6-0 / 180,79,802,1,144,Synthetic University,Stats not available,Synthetic University,1578243.0
203,903,Test Player C-3,"Example HS (Anywhere, USA)",DL,6-0 / 180,77,803,2,113,Synthetic University,Stats not available,Synthetic University,2367161.0
204,904,Test Player C-4,"Example HS (Anywhere, USA)",RB,6-0 / 180,76,804,2,58,Synthetic University,Stats not available,Synthetic University,2636534.0
205,905,Test Player C-5,"Example HS (Anywhere, USA)",RB,6-0 / 180,79,805,1,76,Synthetic University,Stats not available,Synthetic University,4858441.0
206,906,Test Player C-6,"Example HS (Anywhere, USA)",RB,6-0 / 180,79,806,1,98,Synthetic University,Stats not available,Synthetic University,4144761.0
207,907,Test Player C-7,"Example HS (Anywhere, USA)",RB,6-0 / 180,79,807,2,51,Synthetic University,Stats not available,Synthetic University,4172647.0
208,908,Test Player C-8,"Example HS (Anywhere, USA)",S,6-0 / 180,81,808,2,130,Synthetic University,Stats not available,Synthetic University,2215895.0
209,909,Test Player C-9,"Example HS (Anywhere, USA)",DL,6-0 / 180,82,809,2,122,Synthetic University,Stats not available,Synthetic University,4684486.0
210,910,Test Player C-10,"Example HS (Anywhere, USA)",OL,6-0 / 180,77,810,2,98,Synthetic University,Stats not available,Synthetic University,4728469.0
211,911,Test Player C-11,"Example HS (Anywhere, USA)",QB,6-0 / 180,89,811,1,118,Synthetic University,Stats not available,Synthetic University,3837487.0
212,912,Test Player C-12,"Example HS (Anywhere, USA)",DL,6-0 / 180,84,812,2,88,Synthetic University,Stats not available,Synthetic University,1774577.0
213,913,Test Player C-13,"Example HS (Anywhere, USA)",RB,6-0 / 180,89,813,2,90,Synthetic University,Stats not available,Synthetic University,1278924.0
214,914,Test Player C-14,"Example HS (Anywhere, USA)",WR,6-0 / 180,83,814,1,68,Synthetic University,Stats not available,Synthetic University,3482908.0
215,915,Test Player C-15,"Example HS (Anywhere, USA)",QB,6-0 / 180,89,815,1,50,Synthetic University,Stats not available,Synthetic University,4530181.0
216,916,Test Player C-16,"Example HS (Anywhere, USA)",QB,6-0 / 180,88,816,2,75,Synthetic University,Stats not available,Synthetic University,3067230.0
217,917,Test Player C-17,"Example HS (Anywhere, USA)",RB,6-0 / 180,78,817,1,138,Synthetic University,Stats not available,Synthetic University,1354632.0
218,918,Test Player C-18,"Example HS (Anywhere, USA)",QB,6-0 / 180,76,818,2,114,Synthetic University,Stats not available,Synthetic University,2614994.0
219,919,Test Player C-19,"Example HS (Anywhere, USA)",RB,6-0 / 180,80,819,2,56,Synthetic University,Stats not available,Synthetic University,4573064.0
220,920,Test Player C-20,"Example HS (Anywhere, USA)",OL,6-0 / 180,79,820,2,76,Synthetic University,Stats not available,Synthetic University,1344182.0
221,921,Test Player C-21,"Example HS (Anywhere, USA)",WR,6-0 / 180,81,821,2,120,Synthetic University,Stats not available,Synthetic University,2316266.0
222,922,Test Player C-22,"Example HS (Anywhere, USA)",WR,6-0 / 180,77,822,2,121,Synthetic University,Stats not available,Synthetic University,4690193.0
223,923,Test Player C-23,"Example HS (Anywhere, USA)",WR,6-0 / 180,80,823,2,144,Synthetic University,Stats not available,Synthetic University,2050028.0
224,924,Test Player C-24,"Example HS (Anywhere, USA)",OL,6-0 / 180,79,824,2,112,Synthetic University,Stats not available,Synthetic University,3592862.0
225,925,Test Player C-25,"Example HS (Anywhere, USA)",OL,6-0 / 180,86,825,1,146,Synthetic University,Stats not available,Synthetic University,1761940.0
226,926,Test Player C-26,"Example HS (Anywhere, USA)",DL,6-0 / 180,75,826,1,64,Synthetic University,Stats not available,Synthetic University,4065114.0
